Data	Produto	Categoria	Regiao	Estado	Vendedor	Quantidade	Preco_Unitario	Valor_Total
2025-05-01	Teclado	Informática	Centro-Oeste	DF	Fernanda	5	150	750
2025-08-13	Headset	Acessórios	Nordeste	CE	Bruno	4	250	1000
2026-03-02	SSD	Informática	Sudeste	RJ	Fernanda	6	400	2400
2025-09-11	SSD	Informática	Norte	RO	Fernanda	4	400	1600
2025-03-21	Mouse	Informática	Norte	AM	Eduardo	6	80	480
2025-06-03	Mouse	Informática	Sul	RS	Bruno	4	80	320
2025-07-30	Cadeira Gamer	Móveis	Norte	AM	Fernanda	2	1200	2400
2025-02-26	SSD	Informática	Sul	RS	Daniela	8	400	3200
2025-03-01	Teclado	Informática	Norte	AM	Eduardo	8	150	1200
2026-02-10	SSD	Informática	Nordeste	CE	Carlos	1	400	400
2025-02-16	Notebook	Informática	Sudeste	MG	Daniela	2	3500	7000
2025-03-12	Cadeira Gamer	Móveis	Sul	RS	Daniela	1	1200	1200
2025-05-19	Notebook	Informática	Nordeste	PE	Fernanda	3	3500	10500
2026-01-22	Webcam	Acessórios	Nordeste	PE	Daniela	8	220	1760
2025-05-02	Mouse	Informática	Norte	PA	Bruno	6	80	480
2025-01-04	Webcam	Acessórios	Norte	PA	Ana	4	220	880
2026-01-24	Headset	Acessórios	Centro-Oeste	DF	Bruno	7	250	1750
2025-10-10	Monitor	Informática	Centro-Oeste	MT	Bruno	3	900	2700
2025-01-17	Mouse	Informática	Sul	RS	Bruno	7	80	560
2026-04-03	Monitor	Informática	Sul	SC	Eduardo	1	900	900
2026-02-16	Notebook	Informática	Sudeste	MG	Daniela	1	3500	3500
2025-05-24	Monitor	Informática	Norte	PA	Eduardo	1	900	900
2025-11-25	Headset	Acessórios	Sudeste	MG	Bruno	6	250	1500
2026-02-28	Headset	Acessórios	Sudeste	MG	Carlos	4	250	1000
2026-03-14	Headset	Acessórios	Sul	RS	Eduardo	3	250	750
2026-06-22	SSD	Informática	Sul	PR	Carlos	7	400	2800
2026-01-21	Webcam	Acessórios	Centro-Oeste	GO	Bruno	5	220	1100
2025-05-28	SSD	Informática	Sudeste	SP	Daniela	5	400	2000
2025-05-18	Notebook	Informática	Norte	AM	Daniela	7	3500	24500
2025-03-22	Monitor	Informática	Nordeste	BA	Daniela	6	900	5400
2025-02-22	Cadeira Gamer	Móveis	Sul	RS	Carlos	4	1200	4800
2025-03-16	Webcam	Acessórios	Norte	RO	Bruno	1	220	220
2025-11-07	Monitor	Informática	Centro-Oeste	GO	Ana	6	900	5400
2026-05-06	Monitor	Informática	Sudeste	MG	Bruno	2	900	1800
2025-10-17	Monitor	Informática	Centro-Oeste	GO	Daniela	6	900	5400
2025-11-12	SSD	Informática	Norte	RO	Carlos	6	400	2400
2025-04-11	Cadeira Gamer	Móveis	Norte	AM	Fernanda	8	1200	9600
2025-11-17	SSD	Informática	Nordeste	BA	Daniela	6	400	2400
2025-01-17	Notebook	Informática	Norte	PA	Carlos	3	3500	10500
2025-12-04	Webcam	Acessórios	Nordeste	BA	Bruno	4	220	880
2025-12-12	Webcam	Acessórios	Norte	PA	Carlos	8	220	1760
2025-12-27	SSD	Informática	Centro-Oeste	MT	Bruno	3	400	1200
2025-03-02	Teclado	Informática	Norte	AM	Eduardo	3	150	450
2025-01-07	Notebook	Informática	Sul	RS	Daniela	1	3500	3500
2025-01-10	Teclado	Informática	Sudeste	SP	Bruno	3	150	450
2026-05-15	SSD	Informática	Nordeste	BA	Ana	8	400	3200
2025-01-13	Notebook	Informática	Norte	RO	Ana	7	3500	24500
2026-05-30	Headset	Acessórios	Norte	AM	Fernanda	1	250	250
2026-06-21	Webcam	Acessórios	Sudeste	SP	Bruno	2	220	440
2025-12-29	Monitor	Informática	Sudeste	MG	Carlos	5	900	4500
2026-04-16	Webcam	Acessórios	Sul	PR	Eduardo	7	220	1540
2025-02-02	Monitor	Informática	Sudeste	RJ	Ana	2	900	1800
2025-02-27	Webcam	Acessórios	Centro-Oeste	MT	Fernanda	8	220	1760
2026-03-21	Notebook	Informática	Sudeste	SP	Fernanda	8	3500	28000
2025-08-24	Cadeira Gamer	Móveis	Norte	PA	Bruno	1	1200	1200
2025-10-15	SSD	Informática	Nordeste	BA	Eduardo	2	400	800
2025-08-01	Notebook	Informática	Sudeste	RJ	Eduardo	1	3500	3500
2025-06-16	Teclado	Informática	Centro-Oeste	GO	Eduardo	5	150	750
2026-01-29	Monitor	Informática	Norte	AM	Fernanda	6	900	5400
2025-02-24	Teclado	Informática	Sul	RS	Ana	6	150	900
2026-02-11	Webcam	Acessórios	Sudeste	SP	Carlos	6	220	1320
2025-08-22	Notebook	Informática	Nordeste	PE	Carlos	8	3500	28000
2025-03-29	Webcam	Acessórios	Centro-Oeste	GO	Eduardo	7	220	1540
2025-03-26	Headset	Acessórios	Sudeste	MG	Carlos	2	250	500
2026-02-03	Teclado	Informática	Centro-Oeste	DF	Carlos	3	150	450
2025-11-12	Cadeira Gamer	Móveis	Sul	SC	Daniela	1	1200	1200
2025-03-31	Cadeira Gamer	Móveis	Nordeste	BA	Bruno	3	1200	3600
2025-04-16	Webcam	Acessórios	Centro-Oeste	DF	Ana	7	220	1540
2025-11-29	Mouse	Informática	Nordeste	CE	Daniela	2	80	160
2025-03-28	Notebook	Informática	Nordeste	PE	Fernanda	7	3500	24500
2026-01-25	Monitor	Informática	Norte	RO	Bruno	3	900	2700
2026-05-20	Teclado	Informática	Nordeste	PE	Bruno	5	150	750
2026-03-08	Mouse	Informática	Sudeste	RJ	Carlos	5	80	400
2025-09-10	SSD	Informática	Sul	PR	Fernanda	5	400	2000
2026-04-14	SSD	Informática	Norte	RO	Ana	4	400	1600
2025-12-07	Teclado	Informática	Nordeste	BA	Eduardo	7	150	1050
2026-03-17	Webcam	Acessórios	Nordeste	PE	Fernanda	6	220	1320
2026-05-06	Teclado	Informática	Nordeste	PE	Carlos	4	150	600
2026-05-18	Teclado	Informática	Centro-Oeste	MT	Eduardo	5	150	750
2026-02-07	Monitor	Informática	Nordeste	PE	Carlos	5	900	4500
2025-01-28	Mouse	Informática	Norte	PA	Fernanda	3	80	240
2025-03-12	SSD	Informática	Sudeste	RJ	Daniela	5	400	2000
2025-09-05	SSD	Informática	Sudeste	MG	Carlos	5	400	2000
2026-04-05	Teclado	Informática	Centro-Oeste	MT	Eduardo	2	150	300
2025-02-07	SSD	Informática	Norte	AM	Carlos	7	400	2800
2025-06-20	Mouse	Informática	Sul	SC	Fernanda	6	80	480
2025-12-06	Notebook	Informática	Norte	RO	Daniela	7	3500	24500
2025-08-16	Mouse	Informática	Sul	SC	Eduardo	5	80	400
2026-04-20	Monitor	Informática	Centro-Oeste	MT	Fernanda	7	900	6300
2025-04-18	Teclado	Informática	Nordeste	BA	Carlos	8	150	1200
2025-12-23	Webcam	Acessórios	Sul	SC	Carlos	3	220	660
2025-12-23	Cadeira Gamer	Móveis	Centro-Oeste	GO	Daniela	8	1200	9600
2025-11-23	Mouse	Informática	Centro-Oeste	DF	Ana	8	80	640
2025-01-24	Headset	Acessórios	Sul	RS	Carlos	2	250	500
2026-06-13	Mouse	Informática	Sudeste	MG	Bruno	4	80	320
2026-04-19	Teclado	Informática	Nordeste	CE	Bruno	7	150	1050
2026-02-10	Webcam	Acessórios	Sudeste	SP	Ana	7	220	1540
2026-02-03	Monitor	Informática	Centro-Oeste	DF	Ana	7	900	6300
2025-04-15	Monitor	Informática	Sudeste	RJ	Eduardo	2	900	1800
2026-04-14	Teclado	Informática	Nordeste	PE	Ana	4	150	600
2026-02-02	Headset	Acessórios	Centro-Oeste	DF	Eduardo	6	250	1500
2025-12-27	Webcam	Acessórios	Norte	PA	Daniela	6	220	1320
2025-05-18	Teclado	Informática	Nordeste	CE	Carlos	2	150	300
2025-07-07	Mouse	Informática	Sudeste	RJ	Carlos	2	80	160
2025-05-22	Teclado	Informática	Norte	AM	Eduardo	7	150	1050
2025-06-27	Webcam	Acessórios	Centro-Oeste	GO	Eduardo	8	220	1760
2025-07-11	Teclado	Informática	Centro-Oeste	MT	Carlos	3	150	450
2025-01-10	SSD	Informática	Norte	PA	Daniela	6	400	2400
2026-02-23	Teclado	Informática	Sudeste	RJ	Fernanda	8	150	1200
2026-05-16	SSD	Informática	Centro-Oeste	DF	Bruno	8	400	3200
2025-10-27	Mouse	Informática	Norte	PA	Ana	4	80	320
2025-06-22	Headset	Acessórios	Sudeste	MG	Daniela	5	250	1250
2025-04-27	SSD	Informática	Norte	RO	Carlos	2	400	800
2025-08-12	Cadeira Gamer	Móveis	Norte	PA	Daniela	8	1200	9600
2026-04-06	Mouse	Informática	Sudeste	RJ	Carlos	1	80	80
2025-08-31	Cadeira Gamer	Móveis	Sul	PR	Bruno	2	1200	2400
2025-06-19	Cadeira Gamer	Móveis	Norte	RO	Eduardo	7	1200	8400
2025-12-26	Teclado	Informática	Sudeste	SP	Eduardo	1	150	150
2025-11-28	Headset	Acessórios	Norte	RO	Fernanda	3	250	750
2026-06-11	Headset	Acessórios	Nordeste	CE	Fernanda	5	250	1250
2025-10-11	Mouse	Informática	Sudeste	RJ	Fernanda	1	80	80
2025-11-26	Teclado	Informática	Sudeste	SP	Bruno	3	150	450
2026-03-01	Webcam	Acessórios	Centro-Oeste	GO	Daniela	5	220	1100
2026-02-17	SSD	Informática	Sul	RS	Eduardo	2	400	800
2025-12-02	Headset	Acessórios	Nordeste	PE	Eduardo	8	250	2000
2026-01-02	Notebook	Informática	Sul	RS	Ana	8	3500	28000
2026-05-22	Webcam	Acessórios	Sudeste	RJ	Carlos	4	220	880
2026-05-12	Cadeira Gamer	Móveis	Nordeste	PE	Carlos	3	1200	3600
2025-01-17	Notebook	Informática	Sul	SC	Ana	8	3500	28000
2026-03-15	Teclado	Informática	Centro-Oeste	MT	Bruno	1	150	150
2025-04-06	Teclado	Informática	Nordeste	BA	Fernanda	5	150	750
2025-06-19	Cadeira Gamer	Móveis	Nordeste	BA	Ana	6	1200	7200
